geom,rho0_km,rho_over_r,arc_min,n_obs,dv_ms,burn_dir,crlb_los_m,crlb_rel,fim_cond,crlb_los_rb_m,crlb_rel_rb,beta_floor_mrad
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,90.0,91,0.0,none,2266.652169228914,0.007518154182513957,24384.565389878488,16.817500677620416,5.578119341614525e-05,4.263256414560601e-11
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,90.0,91,0.1,radial,2264.623673879688,0.0075114259597186695,24331.161496551886,16.817671356400286,5.578175953272906e-05,4.263256414560601e-11
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,90.0,91,1.0,radial,2246.4125514307275,0.007451022326436681,23855.93623031335,16.81920805976907,5.578685655335541e-05,4.263256414560601e-11
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,90.0,91,1.0,prograde,2227.3054556049246,0.0073876468803278405,22860.197800306276,16.81956482412098,5.5788039888602385e-05,4.263256414560601e-11
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,90.0,91,10.0,prograde,1914.0198866526862,0.006348524405995668,13375.992595996966,16.837021959290244,5.5845942656203534e-05,4.263256414560601e-11
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,360.0,361,0.0,none,493.28485477563464,0.0016361538150619038,5566.573806978052,6.396215038719866,2.121531106467441e-05,4.263256414560601e-11
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,360.0,361,0.1,radial,493.2672172167251,0.0016360953138551085,5566.051713244452,6.396276292589797,2.121551423481435e-05,4.263256414560601e-11
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,360.0,361,1.0,radial,493.1047865459646,0.0016355565550445045,5561.350386393829,6.396827975913305,2.121734408782063e-05,4.263256414560601e-11
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,360.0,361,1.0,prograde,486.44264082002053,0.0016134591907316276,5352.88897872305,6.396544430310698,2.1216403608470902e-05,4.263256414560601e-11
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,360.0,361,10.0,prograde,437.1129048545083,0.0014498396615395552,4015.629782025592,6.401541237034981,2.1232977286551455e-05,4.263256414560601e-11
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,1440.0,1441,0.0,none,450.944299274985,0.0014957163766456411,205250.6175135055,3.339246349885528,1.1075792418726837e-05,4.263256414560601e-11
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,1440.0,1441,0.1,radial,450.91478536325445,0.0014956184833111758,205244.9526892619,3.339281832269942,1.1075910108613452e-05,4.263256414560601e-11
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,1440.0,1441,1.0,radial,450.64484887705623,0.0014947231434128557,205189.48044986388,3.3396017122452326,1.1076971103770442e-05,4.263256414560601e-11
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,1440.0,1441,1.0,prograde,445.7375820553747,0.0014784464561112094,200634.25828610212,3.346900875301238,1.1101181361525616e-05,4.263256414560601e-11
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,1440.0,1441,10.0,prograde,406.90087124549126,0.0013496307587694608,168164.0982272018,3.4272117861750493,1.1367560922838215e-05,4.263256414560601e-11
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,3000.0,3001,0.0,none,384.31687868868727,0.00127472295403268,1311066.3325979034,2.6406270856516034,8.758574358237267e-06,4.263256414560601e-11
