band,alt_lo_km,alt_hi_km,e_max,de_max,da_max_km,same_orbit,horizon,di_max_deg,n,budget_ms,frac_dv_ok_seq,frac_dv_ok_comb,frac_time_ok,frac_feasible_seq,frac_feasible_comb,dv_seq_p50,dv_seq_p90,dv_seq_p99,dv_comb_p90,dv_plane_p50,dv_plane_p90,theta_p50,theta_p90,steps_p50,steps_p90
WL4 300-8000 e<=0.30,300,8000,0.3,0.08,600,0,6000,0.6,4000,478.12987798780637,0.9505,0.97475,1.0,0.9505,0.97475,298.782874749499,431.9602826611315,556.2406260110616,393.44862661507426,40.54839436929061,58.769680410344385,0.4243468410391291,0.5698374257774109,2056.9911789427724,5431.8165749462405
WL4 300-8000 e<=0.30,300,8000,0.3,0.08,600,0,6000,0.75,4000,478.12987798780637,0.94025,0.9735,1.0,0.94025,0.9735,308.51106962498795,443.4556696152902,569.28723639244,396.11920767808726,50.68542494943283,73.46195678422738,0.5304335512989115,0.7122967822217638,2056.9911789427724,5431.8165749462405
WL4 300-8000 e<=0.30,300,8000,0.3,0.08,600,0,6000,0.9,4000,478.12987798780637,0.92875,0.9725,1.0,0.92875,0.9725,318.274419600836,455.9638908973044,582.2405987467025,399.71173977714625,60.82241018821189,88.15413733925068,0.6365202615586938,0.8547561386661167,2056.9911789427724,5431.8165749462405
WL4 300-8000 e<=0.30,300,8000,0.3,0.08,600,0,6000,1.0,4000,478.12987798780637,0.9175,0.97025,1.0,0.9175,0.97025,324.42325759567484,463.4219824676746,592.4001839759331,401.7466286490958,67.58037067963514,97.94886167977216,0.7072447350652152,0.9497290429623517,2056.9911789427724,5431.8165749462405
WL4 300-8000 e<=0.30,300,8000,0.3,0.08,600,0,6000,1.2,4000,478.12987798780637,0.8985,0.9675,1.0,0.8985,0.9675,337.62380012566507,479.2548073608787,612.699209383833,407.40570487136296,81.09620836900129,117.53813433888351,0.8486936820782582,1.1396748515548218,2056.9911789427724,5431.8165749462405
WL4 300-8000 e<=0.30,300,8000,0.3,0.08,600,0,6000,1.5,4000,478.12987798780637,0.861,0.96125,1.0,0.861,0.96125,356.73056136233276,503.4631819342512,643.5704824755052,417.8999232377217,101.36971636684325,146.9215181032281,1.060867102597823,1.4245935644435277,2056.9911789427724,5431.8165749462405
WL4 300-8000 e<=0.30,300,8000,0.3,0.08,600,0,6000,1.75,4000,478.12987798780637,0.82725,0.95225,1.0,0.82725,0.95225,373.591762626098,524.9838698048386,669.5959676443316,429.74914085363594,118.26403236073537,171.40709219603932,1.2376782863641265,1.6620258251841156,2056.9911789427724,5431.8165749462405
WL4 300-8000 e<=0.30,300,8000,0.3,0.08,600,0,6000,2.0,4000,478.12987798780637,0.7845,0.9435,1.0,0.7845,0.9435,389.441760099641,545.2808736632652,695.6572836548295,440.241510640084,135.1580544803977,195.89204525584773,1.4144894701304305,1.8994580859247034,2056.9911789427724,5431.8165749462405
WL4 300-8000 e<=0.30,300,8000,0.3,0.08,600,0,6000,2.5,4000,478.12987798780637,0.68325,0.91375,1.0,0.68325,0.91375,422.40200672578055,587.7687703313311,744.4962895305746,469.2181385147559,168.94504917821018,244.8597334288185,1.7681118376630378,2.374322607405879,2056.9911789427724,5431.8165749462405
WL4 300-8000 e<=0.30,300,8000,0.3,0.08,600,0,6000,3.0,4000,478.12987798780637,0.5735,0.86575,1.0,0.5735,0.86575,455.4448960046192,630.2571770460959,791.7800436783676,499.51544808713606,202.73036463173167,293.8238729545836,2.121734205195646,2.8491871288870554,2056.9911789427724,5431.8165749462405
M5 300-20200 e<=0.50,300,20200,0.5,0.1,1000,0,12000,0.0,4000,478.12987798780637,0.9275,0.9275,1.0,0.9275,0.9275,246.3921420015453,441.1110156380793,657.9327405882136,441.1110156380793,0.0,0.0,0.0,0.0,3501.06657708087,11128.005422842141
M5 300-20200 e<=0.50,300,20200,0.5,0.1,1000,0,12000,0.1,4000,478.12987798780637,0.918,0.9225,0.9995,0.9175,0.922,250.7019569699458,449.7135718652986,666.8737357911579,442.2372993303541,5.1578367093851565,8.385574440784534,0.07072447350652153,0.09497290429623519,3623.511876023261,11081.013890020997
M5 300-20200 e<=0.50,300,20200,0.5,0.1,1000,0,12000,0.2,4000,478.12987798780637,0.91525,0.9225,0.9995,0.91475,0.922,255.45269373109602,455.41700507112284,674.2533095309566,442.4931343393827,10.315671251719413,16.771143821273615,0.14144894701304306,0.18994580859247037,3623.511876023261,11081.013890020997
M5 300-20200 e<=0.50,300,20200,0.5,0.1,1000,0,12000,0.3,4000,478.12987798780637,0.91,0.922,0.9995,0.9095,0.9215,260.09404051757974,461.6192879358955,682.705643916512,442.9188698114698,15.473501459952825,25.156703081174875,0.21217342051956456,0.28491871288870546,3623.511876023261,11081.013890020997
M5 300-20200 e<=0.50,300,20200,0.5,0.1,1000,0,12000,0.4,4000,478.12987798780637,0.906,0.9215,0.9995,0.9055,0.921,265.42933306695227,468.34017334331776,693.0044445206421,443.51352974601735,20.63132516703736,33.54224716020209,0.2828978940260861,0.37989161718494074,3623.511876023261,11081.013890020997
M5 300-20200 e<=0.50,300,20200,0.5,0.1,1000,0,12000,0.5,4000,478.12987798780637,0.90225,0.92075,0.9995,0.90175,0.92025,270.41617550120895,476.17158037460695,699.6716175485244,444.8033659616859,25.789140205927836,41.92777099807824,0.3536223675326076,0.47486452148117586,3623.511876023261,11081.013890020997
M5 300-20200 e<=0.50,300,20200,0.5,0.1,1000,0,12000,0.6,4000,478.12987798780637,0.89625,0.92025,0.9995,0.89575,0.91975,275.6573609750078,482.71444370414247,707.6404475626036,446.399811399587,30.946944409582905,50.313269534538605,0.4243468410391291,0.5698374257774109,3623.511876023261,11081.013890020997
M5 300-20200 e<=0.50,300,20200,0.5,0.1,1000,0,12000,0.75,4000,478.12987798780637,0.885,0.91925,0.9995,0.8845,0.91875,283.52495280754636,493.21276704541367,718.4615734591529,447.9269308347584,38.68362565860814,62.89145882978414,0.5304335512989115,0.7122967822217638,3623.511876023261,11081.013890020997
M5 300-20200 e<=0.50,300,20200,0.5,0.1,1000,0,12000,0.9,4000,478.12987798780637,0.87825,0.917,0.9995,0.87775,0.9165,290.9319800521288,503.4035155909858,727.3790947098923,450.11839782456667,46.42027033879941,75.46956273302699,0.6365202615586938,0.8547561386661167,3623.511876023261,11081.013890020997
M5 300-20200 e<=0.50,300,20200,0.5,0.1,1000,0,12000,1.0,4000,478.12987798780637,0.872,0.91575,0.9995,0.8715,0.91525,296.2464403164802,510.8347838398429,730.2836486424588,452.733394008885,51.57800953120905,83.85490946153062,0.7072447350652152,0.9497290429623517,3623.511876023261,11081.013890020997
M5 300-20200 e<=0.50,300,20200,0.5,0.1,1000,0,12000,1.2,4000,478.12987798780637,0.85825,0.913,0.9995,0.85775,0.9125,306.6154700414836,527.135441654471,748.5260091177388,458.2945782423808,61.89342073797534,100.62544605106955,0.8486936820782582,1.1396748515548218,3623.511876023261,11081.013890020997
M5 300-20200 e<=0.50,300,20200,0.5,0.1,1000,0,12000,1.5,4000,478.12987798780637,0.837,0.908,0.9995,0.8365,0.9075,322.0746434558918,546.4271398459814,777.775966790746,465.9624252811018,77.36633709817944,125.78078286533662,1.060867102597823,1.4245935644435277,3623.511876023261,11081.013890020997
M5 300-20200 e<=0.50,300,20200,0.5,0.1,1000,0,12000,1.75,4000,478.12987798780637,0.82025,0.90325,0.9995,0.81975,0.90275,334.94134711015266,565.3919647476396,802.3417049847914,473.9957488887549,90.26021307457745,146.74304751079347,1.2376782863641265,1.6620258251841156,3623.511876023261,11081.013890020997
M5 300-20200 e<=0.50,300,20200,0.5,0.1,1000,0,12000,2.0,4000,478.12987798780637,0.80325,0.897,0.9995,0.80275,0.8965,347.436470475762,583.6941881275757,828.5830900693635,484.00179741566535,103.15385203513961,167.70475870368594,1.4144894701304305,1.8994580859247034,3623.511876023261,11081.013890020997
M5 300-20200 e<=0.50,300,20200,0.5,0.1,1000,0,12000,2.5,4000,478.12987798780637,0.75575,0.8785,0.9995,0.75525,0.878,372.27360289619526,620.002372100646,865.9378749162439,505.9354270310437,128.9402834793373,209.62620449958362,1.7681118376630378,2.374322607405879,3623.511876023261,11081.013890020997
M5 300-20200 e<=0.50,300,20200,0.5,0.1,1000,0,12000,3.0,4000,478.12987798780637,0.703,0.855,0.9995,0.7025,0.8545,396.73697245085975,658.9323952567148,912.6166769307856,529.1343493161409,154.72536057994972,251.54448781445421,2.121734205195646,2.8491871288870554,3623.511876023261,11081.013890020997
