rung,evec_mode,di_max_deg,n,frac_dv_ok_seq,frac_dv_ok_comb,frac_time_ok,frac_feasible_seq,frac_feasible_comb,de_p50,de_p90,dv_e_p50,dv_seq_p50,dv_seq_p90,dv_comb_p50,dv_comb_p90,dv_plane_p90,theta_p50,steps_p90,e_max,band
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",realized,0.4,5000,0.627,0.663,1.0,0.627,0.663,0.0701705385194058,0.18747761278463468,0.0,397.2030608180783,798.8622323860475,368.24671691457957,767.4197615322906,45.12515394672475,0.2837198120706794,2688.535002091246,0.15,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",intended,0.4,5000,1.0,1.0,1.0,1.0,1.0,0.04184863173771276,0.05678847910339396,0.0,284.2023426887332,368.1160611555978,255.65188093556043,339.4658606732231,45.264267465411365,0.2837198120706794,2688.535002091246,0.15,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",realized,0.4,5000,0.6044,0.6364,1.0,0.6044,0.6364,0.07298332968372123,0.21240620648510275,0.0,405.96730249248776,881.9182620399309,379.11607824053505,850.4165988979227,44.89460898414069,0.2817721073432812,2700.40434263606,0.2,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",intended,0.4,5000,0.9998,1.0,1.0,0.9998,1.0,0.04155159532195049,0.0565004113461099,0.0,281.9490688326677,367.17794705504406,253.77312848180554,338.700377367794,45.235552840493526,0.2817721073432812,2700.40434263606,0.2,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",realized,0.4,5000,0.5992,0.6348,1.0,0.5992,0.6348,0.07430060850892672,0.21095709004121055,0.0,409.75219786567914,877.0437838610779,381.2598004496266,847.7019428957794,44.865973958047746,0.2813744465327729,2705.9363243443577,0.25,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",intended,0.4,5000,1.0,1.0,1.0,1.0,1.0,0.04107054106900128,0.056375040321079734,0.0,280.170937060966,366.7145273436084,252.07588662284687,337.36032795680416,45.079040977693865,0.2813744465327729,2705.9363243443577,0.25,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",realized,0.4,5000,0.605,0.6418,1.0,0.605,0.6418,0.07259978556561131,0.20831294574008907,0.0,408.8621992287374,872.8393086549975,378.1658957167382,845.985031047052,45.066161389409054,0.28558948776983406,2708.3883373332515,0.3,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",intended,0.4,5000,1.0,1.0,1.0,1.0,1.0,0.04103904185590905,0.05658932498382287,0.0,279.35227821910564,367.8208475346196,251.35102095565338,338.288454058557,45.2162878714875,0.28558948776983406,2708.3883373332515,0.3,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-a band 300-8000 (W4 band, da600, cap6000)",realized,1.0,5000,0.9958,0.9994,1.0,0.9958,0.9994,0.01755014604887862,0.03346988563195847,0.0,222.5778403447095,342.6639108542667,184.20959699568635,289.97047447089363,103.52914613136831,0.6987531884856608,5328.05475903576,0.02,"WIDE-a band 300-8000 (W4 band, da600, cap6000)"
"WIDE-a band 300-8000 (W4 band, da600, cap6000)",intended,1.0,5000,0.999,1.0,1.0,0.999,1.0,0.014159036340466762,0.018993908639231522,0.0,204.55371728108867,316.3079791956744,171.19561608797667,267.3942860373708,103.6209371030427,0.6987531884856608,5328.05475903576,0.02,"WIDE-a band 300-8000 (W4 band, da600, cap6000)"
