file,success,cause,gap0_deg,da0_km,e_t,e_s,steps,dv,hohmann,shape_lb,burn_records,warp_share,final_dist_km,final_rvel
ep_0000033.npz,1,1,0.0,-294.9,0.2663,0.2791,453,205.0,56.6,152.9,12,0.971,29.89,7.2
ep_0000034.npz,1,1,-109.59,551.1,0.1827,0.2275,1584,325.0,105.0,172.2,13,0.991,29.9,12.49
ep_0000035.npz,1,1,117.58,-363.5,0.0629,0.0735,1628,375.0,68.5,140.9,17,0.99,29.23,15.67
ep_0000036.npz,1,1,134.2,-58.8,0.1403,0.206,1164,425.0,21.1,247.9,20,0.983,29.59,22.25
ep_0000037.npz,1,1,-50.18,-475.9,0.2607,0.2531,901,155.0,136.0,136.0,8,0.991,29.32,19.9
ep_0000038.npz,1,1,42.9,60.5,0.1613,0.2023,961,260.0,11.2,207.6,13,0.985,29.31,20.84
ep_0000039.npz,1,1,79.17,321.1,0.1888,0.1548,1124,275.0,84.0,110.6,13,0.988,28.93,21.0
ep_0000040.npz,1,1,-3.71,-168.1,0.1656,0.1631,697,235.0,41.0,180.1,12,0.981,29.21,14.59
ep_0000041.npz,1,1,-97.17,93.5,0.0869,0.0662,1189,225.0,33.2,145.5,12,0.99,29.81,27.95
ep_0000042.npz,1,1,-79.14,531.1,0.151,0.1711,978,340.0,189.6,234.6,16,0.983,29.85,22.32
ep_0000043.npz,1,1,-161.27,-550.3,0.1706,0.1523,1173,260.0,134.6,195.2,11,0.99,28.71,28.19
ep_0000044.npz,1,1,-160.45,529.2,0.0318,0.0561,1759,310.0,115.4,207.0,13,0.992,29.79,25.67
ep_0000045.npz,1,1,-161.02,333.0,0.2744,0.2155,1451,340.0,75.6,168.4,17,0.988,29.61,25.85
ep_0000046.npz,1,1,164.8,293.6,0.1427,0.2108,786,285.0,119.9,239.6,12,0.985,29.32,37.14
ep_0000047.npz,1,1,150.14,506.3,0.13,0.0642,1368,300.0,116.8,205.5,14,0.99,29.66,8.9
ep_0000048.npz,1,1,99.92,331.1,0.231,0.2135,981,310.0,95.6,241.9,15,0.985,29.51,13.41
ep_0000049.npz,1,1,-70.45,-76.1,0.0199,0.0669,798,260.0,21.1,207.0,11,0.986,28.96,18.36
ep_0000050.npz,1,1,-5.53,-553.0,0.1132,0.1745,544,235.0,146.5,200.0,11,0.98,29.31,24.05
ep_0000051.npz,1,1,178.85,597.5,0.1037,0.1254,1983,210.0,142.8,142.8,12,0.994,29.86,17.42
